mode,k,bin_index,n_galaxies,log_m200_median,log_m200_min,log_m200_max,re,im,power,phase,rms,bin_snr,mode_snr
5,4.487990,19,70,11.1700,11.1700,11.1800,8.68961027e-3,1.29128621e-1,1.67497101e-2,1.503603,3.40473748e-1,0.503523,0.380119
6,5.385587,19,70,11.1700,11.1700,11.1800,-1.01096798e-1,6.93314020e-2,1.50274059e-2,2.540466,3.40473748e-1,0.503523,0.360046
7,6.283185,19,70,11.1700,11.1700,11.1800,-1.10236803e-1,-5.37285496e-2,1.50389099e-2,-2.688082,3.40473748e-1,0.503523,0.360184
1,0.897598,20,70,11.1800,11.1800,11.1900,1.98009175e-1,2.49724310e-1,1.01569864e-1,0.900393,6.10678823e-1,0.643657,0.521879
2,1.795196,20,70,11.1800,11.1800,11.1900,-7.15894827e-2,3.20414680e-1,1.07790621e-1,1.790614,6.10678823e-1,0.643657,0.537623
3,2.692794,20,70,11.1800,11.1800,11.1900,-3.03903118e-1,1.57328769e-1,1.17109447e-1,2.663890,6.10678823e-1,0.643657,0.560381
4,3.590392,20,70,11.1800,11.1800,11.1900,-3.32877518e-1,-1.31551303e-1,1.28113187e-1,-2.765236,6.10678823e-1,0.643657,0.586117
5,4.487990,20,70,11.1800,11.1800,11.1900,-1.30838558e-1,-3.49285471e-1,1.39119069e-1,-1.929207,6.10678823e-1,0.643657,0.610774
6,5.385587,20,70,11.1800,11.1800,11.1900,1.71931820e-1,-3.44753205e-1,1.48415323e-1,-1.108181,6.10678823e-1,0.643657,0.630851
7,6.283185,20,70,11.1800,11.1800,11.1900,3.75686435e-1,-1.15592804e-1,1.54501993e-1,-0.298492,6.10678823e-1,0.643657,0.643657
1,0.897598,21,70,11.1900,11.1900,11.2000,-8.75634781e-2,-1.01638803e-1,1.79978091e-2,-2.281938,1.67033957e-1,0.832708,0.803166
2,1.795196,21,70,11.1900,11.1900,11.2000,1.90633617e-2,-1.34372220e-1,1.84193054e-2,-1.429867,1.67033957e-1,0.832708,0.812516
3,2.692794,21,70,11.1900,11.1900,11.2000,1.14268814e-1,-7.67003212e-2,1.89403011e-2,-0.591153,1.67033957e-1,0.832708,0.823927
4,3.590392,21,70,11.1900,11.1900,11.2000,1.35343058e-1,3.18340779e-2,1.93311519e-2,0.231011,1.67033957e-1,0.832708,0.832385
