dim,phi,l_grav,l_avt,action
16,0.152,-0.8523253213239386,-0.6893903228413104,-1.541715644165249
16,0.153,-0.8557555772776086,-0.6832213129343269,-1.5389768902119356
16,0.154,-0.8591703999671466,-0.6770800289145658,-1.5362504288817123
16,0.155,-0.862569871485684,-0.670966470782027,-1.5335363422677109
16,0.156,-0.865954072824443,-0.6648806385367106,-1.5308347113611536
16,0.157,-0.8693230838937771,-0.6588225321786167,-1.5281456160723939
16,0.158,-0.8726769835436744,-0.6527921517077452,-1.5254691352514196
16,0.159,-0.8760158495837419,-0.6467894971240961,-1.522805346707838
16,0.16,-0.879339758802686,-0.6408145684276694,-1.5201543272303555
16,0.161,-0.8826487869873051,-0.634867365618465,-1.51751615260577
16,0.162,-0.8859430089410105,-0.6289478886964831,-1.5148908976374935
16,0.163,-0.889222498501888,-0.6230561376617235,-1.5122786361636114
16,0.164,-0.8924873285603159,-0.6171921125141865,-1.5096794410745025
16,0.165,-0.8957375710761539,-0.6113558132538717,-1.5070933843300256
16,0.166,-0.8989732970955122,-0.6055472398807794,-1.5045205369762917
16,0.167,-0.902194576767118,-0.5997663923949094,-1.5019609691620275
16,0.168,-0.9054014793582881,-0.5940132707962619,-1.4994147501545498
16,0.169,-0.9085940732705206,-0.5882878750848367,-1.4968819483553573
16,0.17,-0.9117724260547168,-0.5825902052606339,-1.4943626313153506
16,0.171,-0.9149366044260454,-0.5769202613236536,-1.491856865749699
16,0.172,-0.918086674278456,-0.5712780432738958,-1.489364717552352
16,0.173,-0.9212227006988571,-0.5656635511113602,-1.4868862518102173
16,0.174,-0.9243447479809621,-0.5600767848360472,-1.4844215328170094
16,0.175,-0.9274528796388206,-0.5545177444479563,-1.481970624086777
16,0.176,-0.9305471584200352,-0.5489864299470879,-1.479533588367123
16,0.177,-0.9336276463186818,-0.5434828413334419,-1.4771104876521237
16,0.178,-0.9366944045879319,-0.5380069786070184,-1.4747013831949503
16,0.179,-0.9397474937523967,-0.5325588417678172,-1.472306335520214
16,0.18,-0.9427869736201882,-0.5271384308158384,-1.4699254044360266
16,0.181,-0.9458129032947176,-0.521745745751082,-1.4675586490457997
16,0.182,-0.9488253411862263,-0.5163807865735481,-1.4652061277597745
16,0.183,-0.9518243450230693,-0.5110435532832365,-1.462867898306306
16,0.184,-0.9548099718627447,-0.5057340458801473,-1.460544017742892
16,0.185,-0.9577822781026877,-0.5004522643642805,-1.4582345424669683
16,0.186,-0.9607413194908274,-0.49519820873563614,-1.4559395282264636
16,0.187,-0.9636871511359187,-0.48997187899421407,-1.4536590301301329
16,0.188,-0.9666198275176481,-0.48477327514001456,-1.4513931026576627
16,0.189,-0.9695394024965296,-0.47960239717303743,-1.449141799669567
16,0.19,-0.9724459293235844,-0.4744592450932825,-1.4469051744168668
16,0.191,-0.975339460649822,-0.4693438189007501,-1.4446832795505722
16,0.192,-0.9782200485355158,-0.4642561185954401,-1.4424761671309558
16,0.193,-0.981087744459291,-0.45919614417735255,-1.4402838886366436
16,0.194,-0.9839425993270179,-0.4541638956464873,-1.4381064949735052
16,0.195,-0.986784663480526,-0.4491593730028445,-1.4359440364833704
16,0.196,-0.9896139867061333,-0.4441825762464241,-1.4337965629525575
16,0.197,-0.9924306182430076,-0.43923350537722605,-1.4316641236202337
16,0.198,-0.9952346067913489,-0.43431216039525045,-1.4295467671865993
16,0.199,-0.9980260005204148,-0.4294185413004973,-1.427444541820912
16,0.2,-1.0008048470763757,-0.42455264809296644,-1.4253574951693422
